zone_code,environment,ip_address,label,description,is_range
DMZ_PROD_DC,PROD,10.10.10.0/24,DMZ-DC-Range,Vùng DMZ chính tại Data Center,true
PROXY_PROD_DC,PROD,10.10.20.0/24,PROXY-DC-Range,Vùng Proxy/Gateway chính tại Data Center,true
APP_PROD_DC,PROD,10.10.30.0/24,APP-DC-Range,Vùng Application Frontend tại Data Center,true
SERVICE_PROD_DC,PROD,10.10.40.0/24,SERVICE-DC-Range,Vùng Business Services tại Data Center,true
DB_PROD_DC,PROD,10.10.50.0/24,DB-DC-Range,Vùng Database Clusters tại Data Center,true
INFRA_PROD_DC,PROD,10.10.60.0/24,INFRA-DC-Range,Vùng hạ tầng (Redis/MQ/ELK) tại Data Center,true
MGMT_PROD_DC,PROD,10.10.200.0/24,MGMT-DC-Range,Vùng quản trị nội bộ tại Data Center,true
DMZ_PROD_DR,PROD,10.20.10.0/24,DMZ-DR-Range,Vùng DMZ dự phòng tại DR Site,true
PROXY_PROD_DR,PROD,10.20.20.0/24,PROXY-DR-Range,Vùng Proxy dự phòng tại DR Site,true
APP_PROD_DR,PROD,10.20.30.0/24,APP-DR-Range,Vùng Application dự phòng tại DR Site,true
SERVICE_PROD_DR,PROD,10.20.40.0/24,SERVICE-DR-Range,Vùng Services dự phòng tại DR Site,true
DB_PROD_DR,PROD,10.20.50.0/24,DB-DR-Range,Vùng Database dự phòng tại DR Site,true
APP_UAT,UAT,10.30.30.0/24,UAT-APP-Range,Vùng Application môi trường UAT,true
SERVICE_UAT,UAT,10.30.40.0/24,UAT-SVC-Range,Vùng Services môi trường UAT,true
DB_UAT,UAT,10.30.50.0/24,UAT-DB-Range,Vùng Database môi trường UAT,true
APP_DEV,DEV,10.40.30.0/24,DEV-APP-Range,Vùng Application môi trường DEV,true
SERVICE_DEV,DEV,10.40.40.0/24,DEV-SVC-Range,Vùng Services môi trường DEV,true
DB_DEV,DEV,10.40.50.0/24,DEV-DB-Range,Vùng Database môi trường DEV,true
INTERNAL_DEV,DEV,10.40.100.0/24,STAFF-DEV-Range,Mạng thiết bị nhân viên phát triển nội bộ,true
INTERNAL_UAT,UAT,10.30.100.0/24,STAFF-UAT-Range,Mạng thiết bị nhân viên kiểm thử nội bộ,true
INTERNET,PROD,0.0.0.0/0,Any-Internet,Toàn bộ traffic từ internet công cộng,true
INTERNET,PROD,203.113.44.0/27,NAPAS-IP,Kết nối từ cổng thanh toán NAPAS,true
INTERNET,PROD,1.2.3.4/32,CONSULTANT-VPN,VPN truy cập tạm thời của đối tác tư vấn,true
