ip,code,name,hostname,environment,site,purpose,status,infra_type,system,system_name,os,cpu,ram,total_storage_gb,description
192.168.10.11,SRV-PROD-APP-001,App Server PROD 01,app01.prod.internal,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,Ubuntu Server 22.04 LTS,16,64,500,Server ứng dụng chính - Core Banking & Internet Banking
192.168.10.12,SRV-PROD-APP-002,App Server PROD 02,app02.prod.internal,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,Ubuntu Server 22.04 LTS,16,64,500,Server ứng dụng phụ - Transaction Processing & Loan
192.168.10.21,SRV-PROD-DB-001,Database Server PROD 01,db01.prod.internal,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Hệ thống Core Banking,RHEL 8.6,32,256,10000,Primary PostgreSQL - Core Banking database
192.168.10.22,SRV-PROD-DB-002,Database Server PROD 02,db02.prod.internal,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Hệ thống Core Banking,RHEL 8.6,32,256,10000,Standby PostgreSQL - High Availability replica
192.168.10.31,SRV-PROD-GW-001,API Gateway PROD,gateway.prod.internal,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu Server 22.04 LTS,8,32,200,Nginx reverse proxy - điểm vào duy nhất cho toàn bộ API
192.168.10.41,SRV-PROD-LB-001,Load Balancer PROD,lb01.prod.internal,PROD,DC,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu Server 22.04 LTS,8,16,100,HAProxy - phân tải cho App Server cluster
192.168.10.51,SRV-PROD-CACHE-001,Cache Server PROD,cache01.prod.internal,PROD,DC,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Hạ tầng dùng chung,Ubuntu Server 22.04 LTS,8,32,200,Redis Sentinel cluster - session & hot data cache
192.168.10.61,SRV-PROD-MQ-001,Message Queue PROD,mq01.prod.internal,PROD,DC,MESSAGE_QUEUE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Hạ tầng dùng chung,Ubuntu Server 22.04 LTS,8,32,200,RabbitMQ - async messaging giữa các service
192.168.20.11,SRV-DR-APP-001,App Server DR 01,app01.dr.internal,PROD,DR,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,Ubuntu Server 22.04 LTS,16,64,500,DR site - standby app server cho Core Banking
192.168.20.21,SRV-DR-DB-001,Database Server DR 01,db01.dr.internal,PROD,DR,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Hệ thống Core Banking,RHEL 8.6,32,256,10000,DR site - PostgreSQL replica từ PROD DC
