ip,code,name,hostname,environment,site,purpose,status,infra_type,system,system_name,os,cpu,ram,total_storage_gb,description
10.10.10.11,SRV-DC-LB-01,Load Balancer PROD 01,lb01.prod.dc,PROD,DC,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,8,16,100,F5 BIG-IP DC Node 01
10.10.10.12,SRV-DC-LB-02,Load Balancer PROD 02,lb02.prod.dc,PROD,DC,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,8,16,100,F5 BIG-IP DC Node 02
10.10.10.13,SRV-DC-LB-03,Load Balancer PROD 03,lb03.prod.dc,PROD,DC,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,8,16,100,HAProxy Backup Node
10.10.10.21,SRV-DC-WAF-01,WAF PROD 01,waf01.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,RHEL 8.6,8,32,200,Web Application Firewall DC 01
10.10.10.22,SRV-DC-WAF-02,WAF PROD 02,waf02.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,RHEL 8.6,8,32,200,Web Application Firewall DC 02
10.10.20.11,SRV-DC-GW-01,API Gateway PROD 01,gw01.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,16,64,500,Kong Gateway Cluster Node 01
10.10.20.12,SRV-DC-GW-02,API Gateway PROD 02,gw02.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,16,64,500,Kong Gateway Cluster Node 02
10.10.20.13,SRV-DC-GW-03,API Gateway PROD 03,gw03.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,16,64,500,Kong Gateway Cluster Node 03
10.10.20.21,SRV-DC-PX-EXT-01,External Proxy 01,px-ext01.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,4,8,100,Proxy cho kết nối Swift/Napas 01
10.10.20.22,SRV-DC-PX-EXT-02,External Proxy 02,px-ext02.prod.dc,PROD,DC,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,4,8,100,Proxy cho kết nối Swift/Napas 02
10.10.30.11,SRV-DC-APP-IB-01,IB Portal Server 01,ib01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,INTERNET_BANKING,Internet Banking,Ubuntu 22.04,16,64,500,Frontend IB Portal Node 01
10.10.30.12,SRV-DC-APP-IB-02,IB Portal Server 02,ib02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,INTERNET_BANKING,Internet Banking,Ubuntu 22.04,16,64,500,Frontend IB Portal Node 02
10.10.30.13,SRV-DC-APP-IB-03,IB Portal Server 03,ib03.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,INTERNET_BANKING,Internet Banking,Ubuntu 22.04,16,64,500,Frontend IB Portal Node 03
10.10.30.21,SRV-DC-APP-MB-01,MB Backend 01,mb01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Mobile Banking,Ubuntu 22.04,16,64,500,Mobile Backend Node 01
10.10.30.22,SRV-DC-APP-MB-02,MB Backend 02,mb02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Mobile Banking,Ubuntu 22.04,16,64,500,Mobile Backend Node 02
