code,name,zone_type,environment,color,description
DMZ_PROD_DC,DMZ Zone PROD DC,DMZ,PROD,#FF4D4F,Vùng DMZ PROD DC — Public Load Balancer & WAF (10.10.10)
PROXY_PROD_DC,Proxy Zone PROD DC,CUSTOM,PROD,#FF7A45,Vùng Proxy PROD DC — API Gateway & Reverse Proxy (10.10.20)
APP_PROD_DC,Application Zone PROD DC,LOCAL,PROD,#1890FF,Vùng Ứng dụng PROD DC — Frontend Portal (10.10.30)
SERVICE_PROD_DC,Service Zone PROD DC,LOCAL,PROD,#0050B3,Vùng Dịch vụ PROD DC — Core Banking & Microservices (10.10.40)
DB_PROD_DC,Database Zone PROD DC,DB,PROD,#722ED1,Vùng Cơ sở dữ liệu PROD DC — DB Clusters (10.10.50)
INFRA_PROD_DC,Infrastructure Zone PROD DC,MANAGEMENT,PROD,#13C2C2,Vùng Hạ tầng PROD DC — Redis, MQ, Elasticsearch (10.10.60)
MGMT_PROD_DC,Management Zone PROD DC,MANAGEMENT,PROD,#595959,Vùng Quản trị PROD DC — Jumpbox, Monitoring (10.10.200)
DMZ_PROD_DR,DMZ Zone PROD DR,DMZ,PROD,#FF7875,Vùng DMZ PROD DR — Disaster Recovery Site (10.20.10)
PROXY_PROD_DR,Proxy Zone PROD DR,CUSTOM,PROD,#FF9C6E,Vùng Proxy PROD DR — Disaster Recovery Site (10.20.20)
APP_PROD_DR,Application Zone PROD DR,LOCAL,PROD,#69C0FF,Vùng Ứng dụng PROD DR — Disaster Recovery Site (10.20.30)
SERVICE_PROD_DR,Service Zone PROD DR,LOCAL,PROD,#40A9FF,Vùng Dịch vụ PROD DR — Disaster Recovery Site (10.20.40)
DB_PROD_DR,Database Zone PROD DR,DB,PROD,#B37FEB,Vùng Cơ sở dữ liệu PROD DR — Disaster Recovery Site (10.20.50)
DMZ_UAT,DMZ Zone UAT,DMZ,UAT,#FFBB96,Vùng DMZ UAT — Testing entry points (10.30.10)
APP_UAT,Application Zone UAT,LOCAL,UAT,#95DE64,Vùng Ứng dụng UAT — Testing Apps (10.30.30)
SERVICE_UAT,Service Zone UAT,LOCAL,UAT,#52C41A,Vùng Dịch vụ UAT — Testing Backend (10.30.40)
DB_UAT,Database Zone UAT,DB,UAT,#B7EB8F,Vùng Cơ sở dữ liệu UAT — Testing DB (10.30.50)
APP_DEV,Application Zone DEV,LOCAL,DEV,#FFD666,Vùng Ứng dụng DEV — Development Apps (10.40.30)
SERVICE_DEV,Service Zone DEV,LOCAL,DEV,#FADB14,Vùng Dịch vụ DEV — Development Backend (10.40.40)
DB_DEV,Database Zone DEV,DB,DEV,#FFF1B8,Vùng Cơ sở dữ liệu DEV — Development DB (10.40.50)
INTERNAL_DEV,Internal Device Zone DEV,DEV,DEV,#D9D9D9,Vùng thiết bị nhân viên phát triển nội bộ (10.40.100)
INTERNAL_UAT,Internal Device Zone UAT,UAT,UAT,#D9D9D9,Vùng thiết bị nhân viên kiểm thử nội bộ (10.30.100)
INTERNET,Internet / External,INTERNET,PROD,#262626,Vùng Internet — Nguồn traffic từ bên ngoài hệ thống
