application_code,server_code,environment,version,status,deployer,ports
CORE_FE,SRV_WEB_01,PROD,3.2.1,RUNNING,Ops Team,80-HTTP:http 443-HTTPS:https
CORE_API,SRV_WEB_01,PROD,3.2.1,RUNNING,Ops Team,8080-HTTP:api 8443-HTTPS:api-ssl
CORE_BATCH,SRV_WEB_01,PROD,3.2.1,RUNNING,Ops Team,9090-HTTP:batch-mgmt
IBANK_WEB,SRV_WEB_01,PROD,2.5.0,RUNNING,Team E-Banking,80-HTTP 443-HTTPS
IBANK_API,SRV_WEB_01,PROD,2.5.0,RUNNING,Team E-Banking,8081-HTTP:ibank-api
PAYMENT_GW,SRV_WEB_01,PROD,4.1.0,RUNNING,Team Payment,8082-HTTP:payment 8445-HTTPS:payment-ssl
CORE_FE,SRV_APP_UAT_01,UAT,3.2.1,RUNNING,Ops Team,80-HTTP 443-HTTPS
CORE_API,SRV_APP_UAT_01,UAT,3.2.1,RUNNING,Ops Team,8080-HTTP:api
PROMETHEUS,SRV_DEV_01,DEV,2.45.0,RUNNING,Ops Team,9090-HTTP:prometheus
GRAFANA,SRV_DEV_01,DEV,10.2.0,RUNNING,Ops Team,3000-HTTP:grafana
